,text,created_at,retweet_count,favorite_count,is_retweet,word,china_virus,enlargen
42,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/L80j4W1c8O,4/2/20 21:23,8009,0,TRUE,Coronavirus,0,0
43,RT @WhiteHouse: “We're at war with COVID-19 we're at war with terrorists and we are at war with the drug cartels . . . We're the United S…,4/1/20 23:23,20209,0,TRUE,COVID-19,0,0
44,RT @WhiteHouse: We are fighting the Coronavirus on every possible front—and we will achieve total victory with the help of the American peo…,4/1/20 23:22,9063,0,TRUE,Coronavirus,0,0
45,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/CurosT0chF,3/31/20 21:30,9147,0,TRUE,Coronavirus,0,0
46,RT @CHIZMAGA: Donald Trump donated his salary to fight the virus Nancy Pelosi asked for a raise.This is all you really need to know.,3/31/20 15:13,31668,0,TRUE,virus,0,0
47,"RT @kayleighmcenany: BOOM: @realDonaldTrump obliterates CNN ⬇️""I want to keep the country calm.""The coronavirus ""will go away.""""We're…",3/31/20 15:10,11662,0,TRUE,coronavirus,0,0
48,RT @RepMattGaetz: Our doctors and healthcare professionals are on the front lines of the coronavirus pandemic. Our prayers are with you as…,3/31/20 14:56,5540,0,TRUE,coronavirus,0,0
49,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/MLnQHuBDwj,3/30/20 21:13,8570,0,TRUE,Coronavirus,0,0
50,Nancy Pelosi and the Democrats delayed the Workers Help/Stimulus Bill by over a week trying to add real “junk” into the Bill. Got some bad things having nothing to do with those affected by the Virus included. Republicans need their votes until we WIN BACK THE HOUSE IN 2020!,3/30/20 11:17,43360,190297,FALSE,Virus,0,0
51,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/io9HpU9q2o,3/29/20 21:44,10583,0,TRUE,Coronavirus,0,0
52,“President Trump is a ratings hit. Since reviving the daily White House briefing Mr. Trump and his coronavirus updates have attracted an average audience of 8.5 million on cable news roughly the viewership of the season finale of ‘The Bachelor.’ Numbers are continuing to rise...,3/29/20 17:48,24858,126443,FALSE,coronavirus,0,0
